Job Title,Company Name,Company Location,Job Posted,Job Time,Job Place,Job Experience,Job Description
HTML Implementation Specialist,Options -,"Cairo, Egypt",1 day ago,Full Time,Remote,Full Time,"['Full Time', 'Remote']"
PLSQL Oracle Developer,DIRAC SYSTEMS -,"Heliopolis, Cairo, Egypt",2 days ago,Full Time,On-site,· 2 - 4 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Oracle developer', '· SQL', '· Jasper', '· PostgreSQL', '· MySQL', 'HTML', 'XHTML', '· javaScript', '· CSS']"
Senior Front-End Developer,Bnaia -,"Maadi, Cairo, Egypt",6 days ago,Full Time,On-site,· 3 - 5 Yrs of Exp,"['Experienced', '· Creative/Design/Art', '· IT/Software Development', '· Engineering - Telecom/Technology', '· API', '· Computer Science', '· CSS', '· CSS3', '· front-end', '· Git', 'HTML']"
Senior Front End Developer,Qudra Tech -,"Nasr City, Cairo, Egypt",6 days ago,Full Time,On-site,· 4 - 6 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Project/Program Management', '· Engineering - Telecom/Technology', '· Angular', '· Computer Science', '· JavaScript', '· CSS3', 'HTML5', '· Git', '· front-end']"
Full Stack Developer,COB Solution  -,"Maadi, Cairo, Egypt",6 days ago,Full Time,On-site,· 3 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Angular', '· Computer Science', '· CSS', '· Engineering', '· Full Stack', '· JavaScript', '· jQuery', '· MySQL']"
UX Developer,RSI Tech  -,"Garden City, Cairo, Egypt",7 days ago,Full Time,Remote,· 3 - 8 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Angular', '· CSS', '· Design', 'HTML5', '· Git', '· Information Technology (IT)', '· UX', '· PHP', '· UI']"
Oracle APEX Developer,Union Group -,"Obour City, Cairo, Egypt",3 hours ago,Full Time,On-site,· 2 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Computer Engineering', '· Computer Science', '· CSS', '· Engineering', 'HTML', '· Information Technology (IT)', '· Java', '· JavaScript']"
Full Stack Developer (.Net Core & Angular 9),JRM for Communications -,"Nasr City, Cairo, Egypt",10 hours ago,Full Time,Hybrid,· 2+ Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Information Technology (IT)', '· Computer Science', '· Full Stack', '· .Net', '· Scrum', '· Agile', '· Git', '· Sass']"
Senior Full Stack .NET Developer,Tafeel -,"Nasr City, Cairo, Egypt",1 day ago,Full Time,On-site,· 4 - 6 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· CSS3', '· Computer Science', '· Software Development', '· JavaScript', '· Java', '· Software Engineering', '· SQL', '· Information Technology (IT)']"
Senior Dot Net Developer,Compass international -,"Cairo, Egypt",1 day ago,Full Time,On-site,· 4 - 5 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· C#', '· Information Technology (IT)', '· .NET', '· MVC', '· ASP.NET', '· core', '· Software Development', '· Computer Science']"
Senior MEAN Stack Engineer,Contellect -,"Nasr City, Cairo, Egypt",2 days ago,Full Time,On-site,· 4 - 7 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Angular', '· APIs', '· Computer Science', '· CSS', 'HTML', '· Information Technology (IT)', '· Agile', '· JavaScript']"
"Online Front-End Developer (UI/UX Design, JS, Shopify)",Maison de Maa -,"Heliopolis, Cairo, Egypt",11 days ago,Full Time,Remote,· 5 - 10 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Computer Science', '· front-end', '· Information Technology (IT)', '· Development', '· CSS', '· Design', 'HTML', '· JavaScript']"
Odoo Developer,Alwadi Holding -,"Mohandessin, Giza, Egypt",11 days ago,Full Time,On-site,· 3 - 6 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· Computer Science', '· Engineering', '· CSS', 'HTML', '· Information Technology (IT)', '· JavaScript', '· jQuery', '· Odoo']"
Wordpress Developer,Exco Egypt -,"Nasr City, Cairo, Egypt",11 days ago,Full Time,Hybrid,· 3+ Yrs of Exp,"['Experienced', '· IT/Software Development', '· CSS', 'HTML', '· JavaScript', '· Laravel', '· PHP', '· WordPress', '· APIs', '· developer', '· Computer Science']"
Senior .NET Developer,Walan Technology -,"Zaytoun, Cairo, Egypt",4 days ago,Full Time,On-site,· 5 - 10 Yrs of Exp,"['Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology', '· ASP.Net', '· Software Development', '· .Net', '· Full Stack', '· Computer Science', '· Information Technology (IT)', '· CSS', 'HTML']"
